sex,age,address,famsize,Pstatus,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_home,reason_other,reason_reputation,guardian_mother,guardian_other,school_MS
1,16,1,0,1,4,3,1,2,0,0,1,1,1,1,1,1,0,5,4,2,1,2,5,10,15,15,15,False,False,True,False,False,True,False,False,False,False,True,True,False,False
1,16,1,0,1,2,2,1,2,0,0,0,0,0,1,1,1,0,4,4,4,1,1,3,0,12,12,11,False,True,False,False,False,True,False,False,True,False,False,True,False,False
0,15,1,1,1,4,4,1,2,0,0,1,1,0,1,1,1,0,3,3,3,1,2,2,0,10,8,9,False,False,False,True,True,False,False,False,False,False,True,True,False,False
1,15,1,1,1,4,3,2,2,0,0,1,1,0,1,1,1,0,5,4,3,1,2,3,2,10,10,11,False,False,False,True,False,True,False,False,False,False,False,True,False,False
1,16,1,0,1,2,2,2,2,0,0,1,0,1,1,1,1,0,5,4,4,2,4,5,0,13,13,12,False,True,False,False,False,True,False,False,False,False,True,True,False,False
1,15,1,1,1,4,4,1,2,0,0,1,0,1,1,1,1,0,4,3,3,1,1,5,2,19,18,18,False,False,True,False,False,False,False,True,False,False,False,False,False,False
0,16,1,0,1,2,2,3,2,0,0,1,1,0,1,1,1,0,4,3,3,2,3,4,2,12,13,13,False,False,True,False,False,False,True,False,False,False,False,True,False,False
0,15,1,0,1,4,2,1,2,0,0,1,1,0,1,1,1,0,4,3,3,1,1,5,2,11,13,13,True,False,False,False,False,True,False,False,False,True,False,True,False,False
0,16,1,1,1,4,2,1,2,0,0,1,0,0,1,1,1,0,4,2,3,1,1,5,2,15,16,16,False,False,True,False,False,True,False,False,False,False,False,True,False,False
0,16,1,0,1,4,3,3,2,0,0,1,0,1,1,1,1,0,5,4,3,1,2,1,2,16,15,15,False,False,False,True,False,False,True,False,False,False,False,True,False,False
1,15,1,1,1,4,3,1,2,0,0,1,1,1,1,1,1,0,4,3,3,2,3,5,6,9,9,10,False,False,False,True,False,True,False,False,True,False,False,True,False,False
0,15,1,0,1,3,2,1,2,0,0,1,1,0,1,1,1,0,4,4,4,1,1,5,10,7,6,6,False,False,True,False,False,True,False,False,False,False,True,True,False,False
1,15,1,0,1,2,2,2,2,0,0,0,1,1,1,1,1,0,5,3,3,1,3,4,4,15,15,15,False,False,True,False,False,False,True,False,True,False,False,True,False,False
0,16,1,1,1,4,2,2,2,0,0,1,1,1,1,1,1,0,5,3,3,1,1,1,0,11,10,10,False,False,False,True,False,False,True,False,True,False,False,True,False,False
1,16,1,1,1,4,4,1,2,0,0,1,0,1,1,1,1,0,5,4,4,1,2,5,2,15,15,16,False,False,False,True,False,False,False,True,False,False,False,False,False,False
0,16,1,0,1,2,4,2,2,0,0,1,1,1,1,1,1,1,4,2,2,1,2,5,2,13,13,13,False,True,False,False,True,False,False,False,False,False,False,False,False,False
0,16,1,1,1,2,2,1,2,0,0,0,1,0,1,1,1,1,5,4,4,1,1,5,0,8,7,8,False,True,False,False,False,True,False,False,True,False,False,True,False,False
0,15,1,1,1,1,1,1,2,0,0,1,1,0,1,1,1,0,4,4,2,1,2,5,0,8,11,11,False,True,False,False,False,False,True,False,False,False,False,False,False,False
0,16,1,1,1,4,2,1,2,0,0,0,1,0,1,1,1,1,4,2,3,1,1,3,0,14,15,16,True,False,False,False,False,False,True,False,True,False,False,False,False,False
0,16,1,1,1,4,4,1,2,0,0,1,1,0,1,1,1,1,4,4,2,1,1,3,0,14,14,14,True,False,False,False,True,False,False,False,False,False,True,True,False,False
1,17,1,0,1,4,4,1,2,0,0,1,1,1,1,1,1,0,4,4,4,1,3,5,0,13,11,10,False,False,False,True,False,True,False,False,False,False,True,True,False,False
0,16,1,0,1,3,3,2,2,0,0,1,1,1,1,1,1,0,4,4,5,1,1,4,4,10,11,9,False,True,False,False,False,True,False,False,False,False,True,True,False,False
