sex,age,address,famsize,Pstatus,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_home,reason_other,reason_reputation,guardian_mother,guardian_other,school_MS
0,15,1,1,1,4,2,1,3,0,0,1,0,1,1,1,1,1,3,2,2,1,1,5,0,14,14,14,True,False,False,False,False,False,True,False,True,False,False,True,False,False
1,16,1,0,1,4,3,1,2,0,0,1,0,1,1,1,1,0,5,4,2,1,2,5,6,12,12,13,False,False,True,False,False,True,False,False,False,False,True,True,False,False
1,16,1,0,1,2,2,1,2,0,0,0,0,0,1,1,1,0,4,4,4,1,1,3,0,13,12,13,False,True,False,False,False,True,False,False,True,False,False,True,False,False
0,15,1,1,1,4,4,1,2,0,0,1,0,0,1,1,1,0,3,3,3,1,2,2,2,14,14,14,False,False,False,True,True,False,False,False,False,False,True,True,False,False
0,15,1,1,1,2,1,3,3,0,0,1,0,1,1,1,1,0,5,2,2,1,1,4,0,10,12,13,False,False,True,False,False,True,False,False,False,False,True,False,False,False
1,15,1,0,1,4,4,1,1,0,0,1,0,1,1,1,1,0,4,3,3,1,3,5,0,12,13,12,True,False,False,False,False,False,True,False,False,False,False,False,False,False
1,15,1,1,1,4,3,2,2,0,0,1,0,0,1,1,1,0,5,4,3,1,2,3,0,12,12,13,False,False,False,True,False,True,False,False,False,False,False,True,False,False
0,16,1,1,1,4,4,1,1,0,0,1,0,0,1,1,1,0,4,4,4,1,2,2,6,17,17,17,True,False,False,False,False,True,False,False,True,False,False,True,False,False
0,16,1,1,1,4,4,1,3,0,0,1,0,1,1,1,1,0,3,2,3,1,2,2,10,13,13,14,False,False,True,False,False,False,True,False,False,False,True,True,False,False
1,15,1,1,1,2,2,1,1,0,0,1,0,0,1,1,1,0,4,2,2,1,2,5,8,11,12,12,False,True,False,False,False,True,False,False,True,False,False,True,False,False
1,15,0,1,1,4,3,1,2,0,0,1,0,1,1,1,1,1,4,5,2,1,1,5,0,13,14,15,False,False,False,True,False,False,False,False,False,False,False,True,False,False
1,15,1,0,1,4,3,1,3,0,0,1,0,1,1,1,1,0,5,4,3,1,1,4,0,14,14,14,False,False,False,True,False,False,True,False,True,False,False,True,False,False
1,15,1,1,1,4,4,1,2,0,0,1,0,1,1,1,1,0,4,3,3,1,1,5,0,14,15,15,False,False,True,False,False,False,False,True,False,False,False,False,False,False
0,15,1,0,1,4,2,1,2,0,0,1,0,0,1,1,1,0,4,3,3,1,1,5,0,16,14,16,True,False,False,False,False,True,False,False,False,True,False,True,False,False
0,16,1,0,1,4,3,3,2,0,0,1,0,1,1,1,1,0,5,4,3,1,2,1,2,16,15,16,False,False,False,True,False,False,True,False,False,False,False,True,False,False
0,15,1,0,1,3,2,1,2,0,0,1,0,0,1,1,1,0,4,4,4,1,1,5,4,12,11,11,False,False,True,False,False,True,False,False,False,False,True,True,False,False
0,15,1,1,1,4,2,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,3,1,4,15,15,15,False,True,False,False,False,True,False,False,False,False,True,True,False,False
0,16,1,1,1,3,3,1,3,0,0,1,0,0,1,1,1,1,4,3,3,1,3,4,2,9,11,11,False,True,False,False,False,True,False,False,True,False,False,True,False,False
0,15,1,1,1,4,3,1,1,0,0,0,0,1,1,1,1,0,4,5,5,1,3,1,6,14,13,13,False,False,True,False,False,True,False,False,False,False,True,True,False,False
0,16,1,1,1,4,2,2,2,0,0,1,0,1,1,1,1,0,5,3,3,1,1,1,2,13,14,14,False,False,False,True,False,False,True,False,True,False,False,True,False,False
1,16,1,1,1,4,4,1,3,0,0,1,0,1,1,1,1,1,4,4,3,1,1,4,0,16,16,16,False,False,True,False,False,False,False,True,False,True,False,False,False,False
1,16,1,1,1,3,3,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,1,5,4,13,14,14,False,False,True,False,False,True,False,False,True,False,False,False,False,False
0,16,1,0,1,4,4,1,3,0,0,1,0,1,1,1,1,1,5,4,5,1,1,4,2,15,15,14,True,False,False,False,True,False,False,False,False,True,False,True,False,False
1,15,1,0,1,4,2,1,1,0,0,0,0,0,1,1,1,0,3,5,2,1,1,3,10,18,17,18,False,False,False,True,False,True,False,False,False,False,False,True,False,False
1,15,0,1,1,2,1,1,2,0,0,0,0,1,1,1,1,1,5,4,2,1,1,5,4,10,9,10,True,False,False,False,False,False,True,False,False,False,True,True,False,False
1,16,1,1,1,4,4,1,2,0,0,1,0,1,1,1,1,0,5,4,4,1,2,5,6,16,14,14,False,False,False,True,False,False,False,True,False,False,False,False,False,False
1,16,1,1,1,3,3,2,1,0,0,0,0,1,1,1,1,0,5,4,2,1,1,5,6,14,14,15,False,True,False,False,False,False,True,False,True,False,False,False,False,False
1,15,1,1,1,3,4,1,1,0,0,0,0,0,1,1,1,0,3,4,3,1,2,4,2,14,13,14,False,True,False,False,False,True,False,False,False,False,True,False,False,False
0,16,1,0,1,2,4,2,2,0,0,1,0,1,1,1,1,1,4,2,2,1,2,5,2,14,12,13,False,True,False,False,True,False,False,False,False,False,False,False,False,False
0,16,1,1,1,2,2,1,2,0,0,0,0,0,1,1,1,1,5,4,4,1,1,5,0,12,11,11,False,True,False,False,False,True,False,False,True,False,False,True,False,False
0,17,1,0,1,2,2,1,1,0,0,1,0,0,1,1,1,1,3,4,4,1,3,5,2,13,12,12,False,True,False,False,False,True,False,False,False,False,False,False,False,False
0,15,1,1,1,4,4,1,3,0,0,1,0,1,1,1,1,1,4,3,3,1,1,5,4,13,14,15,False,False,True,False,False,False,False,False,False,False,False,True,False,False
0,15,1,1,1,4,4,2,1,0,0,0,0,1,1,1,1,0,4,3,2,1,1,5,6,13,14,14,False,False,False,True,False,False,False,True,False,False,False,True,False,False
1,16,1,1,1,4,4,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,3,5,0,15,13,13,False,False,True,False,False,False,True,False,False,False,False,True,False,False
0,15,1,1,1,4,4,1,3,0,0,1,0,1,1,1,1,0,4,2,2,1,1,5,2,13,13,13,False,False,False,True,False,False,True,False,False,False,False,True,False,False
0,15,1,1,1,1,1,1,2,0,0,1,0,0,1,1,1,0,4,4,2,1,2,5,0,12,12,12,False,True,False,False,False,False,True,False,False,False,False,False,False,False
0,16,1,1,1,4,2,1,2,0,0,0,0,0,1,1,1,1,4,2,3,1,1,3,0,17,17,18,True,False,False,False,False,False,True,False,True,False,False,False,False,False
0,16,1,1,1,4,4,1,2,0,0,1,0,0,1,1,1,1,4,4,2,1,1,3,0,16,16,17,True,False,False,False,True,False,False,False,False,False,True,True,False,False
1,16,1,1,1,1,0,2,2,0,0,1,0,1,1,1,1,1,4,3,2,1,1,3,0,16,17,18,False,True,False,False,False,True,False,False,False,False,True,True,False,False
1,17,1,0,1,4,4,1,2,0,0,1,0,1,1,1,1,0,4,4,4,1,3,5,0,11,9,10,False,False,False,True,False,True,False,False,False,False,True,True,False,False
0,16,1,0,1,3,3,2,2,0,0,1,0,1,1,1,1,0,4,4,5,1,1,4,0,14,14,15,False,True,False,False,False,True,False,False,False,False,True,True,False,False
1,16,1,1,1,3,3,1,2,0,0,0,0,1,1,1,1,1,4,2,3,1,2,3,0,11,12,13,False,False,True,False,False,True,False,False,True,False,False,True,False,False
1,16,1,1,1,1,2,1,1,0,0,1,0,1,1,1,1,1,3,3,3,1,2,3,0,10,9,11,False,False,True,False,False,False,True,False,False,True,False,True,False,False
1,16,1,0,1,2,1,1,2,0,0,0,0,1,1,1,1,1,4,2,3,1,2,5,0,13,14,16,False,True,False,False,False,True,False,False,False,False,False,True,False,False
0,16,1,1,1,2,3,1,2,0,0,0,0,0,1,1,1,0,4,3,3,1,1,2,6,12,12,13,False,False,True,False,False,False,True,False,False,False,False,True,False,False
0,17,1,1,1,1,1,1,2,0,0,0,0,1,1,1,1,0,5,3,3,1,1,3,0,12,11,12,False,False,False,False,False,False,True,False,False,False,False,True,False,False
1,16,1,1,1,2,3,2,1,0,0,0,0,0,1,1,1,0,5,3,3,1,1,3,0,13,12,12,False,True,False,False,False,True,False,False,True,False,False,False,False,False
0,17,1,0,1,2,4,1,2,0,0,0,0,1,1,1,1,1,4,3,2,1,1,5,8,14,15,16,False,False,True,False,False,False,True,False,False,False,False,False,False,False
1,17,1,1,1,4,4,1,1,0,0,0,0,0,1,1,1,0,5,2,3,1,2,5,4,13,13,14,False,False,True,False,False,False,False,True,True,False,False,True,False,False
0,16,1,0,1,4,4,1,2,0,0,1,0,0,1,1,1,0,4,5,2,1,2,3,0,11,10,11,False,False,False,True,False,False,False,True,False,False,True,True,False,False
0,17,0,1,1,4,3,2,3,0,0,1,0,1,1,1,1,1,4,4,2,1,1,4,0,11,12,12,False,False,False,True,False,True,False,False,False,False,True,True,False,False
0,17,1,0,1,3,2,2,2,0,0,0,0,0,1,1,1,0,4,4,4,1,3,1,2,14,16,15,False,True,False,False,False,True,False,False,False,False,True,True,False,False
0,17,1,1,1,2,2,1,3,0,0,1,0,1,1,1,1,0,4,3,3,1,1,4,0,12,12,13,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0,17,0,1,1,2,1,2,2,0,0,1,0,1,1,1,1,0,4,2,5,1,2,5,0,11,10,11,False,False,False,False,False,False,True,False,False,False,True,True,False,False
0,18,0,1,1,3,1,1,2,0,0,0,0,1,1,1,1,1,5,3,3,1,1,4,4,8,8,8,False,True,False,False,False,True,False,False,False,False,True,True,False,False
0,17,1,0,1,4,3,1,2,0,0,0,0,1,1,1,1,1,3,2,3,1,2,3,0,14,12,12,True,False,False,False,False,True,False,False,False,False,True,False,False,False
1,17,0,1,1,2,2,2,2,0,0,1,0,1,1,1,1,0,4,5,2,1,1,1,0,12,13,13,False,True,False,False,False,True,False,False,False,False,False,False,False,False
1,16,1,0,1,1,1,2,2,0,0,1,0,0,1,1,1,0,3,4,2,1,1,5,2,9,9,9,False,True,False,False,False,True,False,False,True,False,False,True,False,False
1,16,1,1,1,3,2,2,3,0,0,0,0,1,1,1,1,1,5,3,3,1,3,2,0,12,12,12,False,False,False,False,False,True,False,False,False,False,True,True,False,False
0,16,1,1,1,2,1,1,1,0,0,0,0,0,1,1,1,1,4,5,2,1,1,5,4,9,10,10,False,True,False,False,False,True,False,False,True,False,False,True,False,False
0,17,1,0,1,1,1,1,3,0,0,1,0,1,1,1,1,1,4,3,2,1,2,4,10,11,10,10,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0,17,0,0,1,1,1,2,3,0,0,0,0,1,1,1,1,0,4,3,3,1,3,5,4,15,14,15,False,False,False,False,False,True,False,False,False,False,False,True,False,False
1,16,1,1,1,2,1,3,1,0,0,0,0,0,1,1,1,0,4,3,3,1,1,4,7,15,16,16,False,True,False,False,False,True,False,False,False,False,False,True,False,False
1,17,1,1,1,2,3,2,1,0,0,0,0,0,1,1,1,0,5,2,2,1,1,2,2,9,12,13,False,True,False,False,False,True,False,False,False,False,False,False,False,False
1,18,0,0,1,3,3,1,2,0,0,1,0,0,1,1,1,1,4,3,3,1,3,5,8,10,9,10,False,True,False,False,False,False,True,False,False,False,False,True,False,False
0,19,1,1,1,2,2,1,2,0,0,1,0,0,1,1,1,0,4,3,3,1,1,5,0,10,10,11,False,False,True,False,False,False,True,False,True,False,False,True,False,False
0,17,0,1,1,4,2,1,3,0,0,1,0,1,1,1,1,0,4,3,4,1,3,5,2,11,12,14,False,True,False,False,False,True,False,False,False,False,False,True,False,False
1,18,1,1,1,2,1,1,2,0,0,0,0,1,1,1,1,0,5,2,4,1,2,4,2,16,16,16,False,True,False,False,False,True,False,False,True,False,False,True,False,False
0,18,1,1,1,2,2,1,3,0,0,1,0,1,1,1,1,1,4,3,3,1,1,3,0,11,12,13,False,False,False,False,False,False,True,False,True,False,False,True,False,False
1,18,1,1,1,4,2,1,2,0,0,1,0,1,1,1,1,1,5,4,5,1,3,5,4,10,12,14,True,False,False,False,False,True,False,False,False,False,True,False,False,False
0,18,1,1,1,2,1,1,2,0,0,1,0,0,1,1,1,1,4,2,5,1,2,1,8,14,14,15,False,True,False,False,False,True,False,False,True,False,False,True,False,False
0,17,1,1,1,2,4,2,2,0,0,1,0,0,1,1,1,1,4,3,3,1,1,1,6,15,16,16,False,False,False,False,True,False,False,False,False,False,True,True,False,False
0,17,1,1,1,2,2,3,3,0,0,1,0,0,1,1,1,1,4,2,3,1,1,1,8,13,15,15,False,True,False,False,False,False,True,False,False,False,True,False,False,False
1,18,1,0,1,4,3,2,1,0,0,0,0,1,1,1,1,0,4,2,3,1,2,1,0,10,10,10,False,False,False,True,False,False,True,False,False,False,False,True,False,False
0,18,1,1,1,2,2,1,3,0,0,1,0,0,1,1,1,0,4,3,3,1,2,2,0,18,18,18,False,False,False,False,False,False,False,False,False,True,False,True,False,False
0,17,1,1,1,1,1,1,3,0,0,1,0,0,1,1,1,0,4,3,3,1,1,3,0,13,13,14,False,False,True,False,False,False,False,True,False,False,True,True,False,False
1,18,1,1,1,2,1,1,3,0,0,0,0,1,1,1,1,0,4,2,4,1,3,2,0,14,15,15,False,False,True,False,False,False,True,False,False,False,True,True,False,False
0,17,1,1,1,4,3,1,3,0,0,1,0,0,1,1,1,0,4,2,2,1,2,3,0,17,18,18,True,False,False,False,False,False,True,False,False,False,True,True,False,False
1,18,0,0,1,3,2,2,3,0,0,1,0,1,1,1,1,0,5,4,2,1,1,4,0,14,15,15,False,False,True,False,False,True,False,False,False,False,True,True,False,False
1,17,1,1,1,3,3,1,1,0,0,1,0,0,1,1,1,0,4,4,3,1,3,5,0,14,15,15,True,False,False,False,False,True,False,False,True,False,False,True,False,False
0,18,1,0,1,4,3,2,2,0,0,1,0,0,1,1,1,1,4,4,5,1,2,2,0,13,14,14,False,True,False,False,False,True,False,False,True,False,False,False,True,False
0,17,1,1,1,4,2,2,3,0,0,1,0,0,1,1,1,0,4,3,3,1,1,3,0,16,16,16,False,True,False,False,False,True,False,False,False,False,True,True,False,False
0,18,1,1,1,2,1,2,2,0,0,1,0,1,1,1,1,0,5,3,3,1,2,1,2,12,12,15,False,False,True,False,False,True,False,False,False,False,False,True,False,False
0,17,0,1,1,4,4,1,1,0,0,0,0,1,1,1,1,0,4,4,4,1,1,5,2,15,16,17,False,False,False,True,False,False,False,True,False,False,False,True,False,False
0,18,1,1,1,4,3,1,3,0,0,1,0,1,1,1,1,1,4,3,4,1,1,5,2,14,15,17,False,True,False,False,False,True,False,False,False,False,False,True,False,False
1,19,1,1,1,4,2,2,2,0,0,1,0,1,1,1,1,1,5,4,4,1,1,1,9,11,10,10,True,False,False,False,False,True,False,False,False,False,False,True,False,False
0,18,1,1,1,3,4,1,1,0,0,1,0,1,1,1,1,1,5,4,4,1,1,1,4,11,12,14,False,True,False,False,False,True,False,False,False,False,False,True,False,False
0,17,1,1,1,4,4,1,1,0,0,0,0,1,1,1,1,0,5,3,4,1,2,5,2,14,15,17,True,False,False,False,True,False,False,False,False,False,False,True,False,False
0,18,1,1,1,1,1,2,3,0,0,0,0,1,1,1,1,0,4,5,5,1,2,2,0,14,14,14,False,True,False,False,False,True,False,False,True,False,False,True,False,False
0,17,1,1,1,4,4,1,3,0,0,1,0,1,1,1,1,0,5,4,4,1,3,4,0,13,12,13,False,False,False,True,False,False,True,False,False,False,False,True,False,False
0,17,0,1,1,2,4,1,3,0,0,1,0,0,1,1,1,1,4,4,3,1,1,5,0,15,15,15,False,False,False,False,False,True,False,False,False,False,False,False,False,False
0,18,1,1,1,3,3,1,2,0,0,0,0,1,1,1,1,0,5,3,4,1,1,4,8,10,11,12,False,False,True,False,False,False,True,False,True,False,False,True,False,False
0,17,1,1,1,3,4,1,3,0,0,0,0,0,1,1,1,0,4,4,5,1,3,5,8,11,13,14,False,False,True,False,False,True,False,False,False,False,False,True,False,False
1,18,1,0,1,3,4,1,2,0,0,0,0,1,1,1,1,1,4,3,3,1,3,5,6,16,16,17,False,False,True,False,False,True,False,False,True,False,False,True,False,False
0,18,1,1,1,2,3,1,3,0,0,1,0,0,1,1,1,0,4,3,3,1,2,3,0,11,12,14,False,False,False,False,False,True,False,False,False,False,False,True,False,False
1,18,0,1,1,4,3,1,3,0,0,0,0,0,1,1,1,1,5,3,2,1,2,4,4,15,14,17,False,False,False,True,False,False,True,False,False,False,False,True,False,False
0,17,1,1,1,4,3,1,3,0,0,1,0,1,1,1,1,1,4,4,3,1,3,4,0,11,12,13,True,False,False,False,False,True,False,False,False,False,True,True,False,False
0,17,1,1,1,2,2,1,2,0,0,1,0,1,1,1,1,0,4,3,4,1,3,4,0,13,17,17,False,False,True,False,False,False,True,False,False,False,True,True,False,False
0,18,1,0,1,4,2,1,2,0,0,1,0,1,1,1,1,0,4,2,2,1,1,3,0,14,17,17,False,False,False,True,False,True,False,False,False,False,False,True,False,False
0,20,0,1,1,1,1,2,3,0,0,0,0,0,1,1,1,1,3,2,2,1,3,3,8,11,15,15,False,True,False,False,False,True,False,False,False,False,True,False,True,False
0,18,1,1,1,3,2,1,3,0,0,1,0,0,1,1,1,1,4,3,4,1,2,2,5,14,17,17,False,False,False,False,False,True,False,False,False,False,True,False,False,False
0,16,0,1,1,2,2,2,2,0,0,1,0,1,1,1,1,0,4,4,4,1,1,5,0,12,12,12,False,True,False,False,False,True,False,False,False,False,False,True,False,True
0,15,0,0,1,1,1,2,2,0,0,1,0,0,1,1,1,0,5,4,3,1,2,4,0,10,10,10,False,False,False,False,False,False,True,False,False,False,True,False,False,True
0,17,0,1,1,2,3,2,1,0,0,1,0,0,1,1,1,0,5,5,5,1,3,3,2,10,11,12,False,True,False,False,False,True,False,False,False,False,False,True,False,True
